Sno,Entity,Code,Year,Fertilizer Usage (kg/ha),Irrigated Land (%),Total Crop Yield (tons),Greenhouse Area (ha)
987,India,IND,1989,4.16,23.35,34931,0.56
988,Qatar,QAT,1981,0.63,11.39,4319,0.04
989,Qatar,QAT,1981,0.18,9.97,1802,0.08
990,Japan,JPN,2003,11.22,21.27,104777,1.45
991,Japan,JPN,1996,4.12,37.77,36620,0.18
992,Kenya,KEN,2011,30.64,30.25,32662,2.83
993,United States,USA,1995,9.08,34.43,65603,0.89
994,Japan,JPN,1995,10.78,14.12,71509,1.32
995,Canada,CAN,2018,14.93,24.07,137644,3.4
996,United States,USA,2010,5.56,2.22,57772,1.5
997,Mexico,MEX,2003,22.5,40.88,46160,1.28
998,France,FRA,1980,0.0,49.49,0,0.0
999,Brazil,BRA,1990,4.81,20.34,45913,0.5
1000,Germany,GER,2000,13.7,0.55,31967,1.81
1001,Turkey,TUR,1983,0.37,8.49,12911,0.24
1002,Brazil,BRA,1986,4.98,32.63,12991,0.13
1003,Spain,ESP,2005,14.57,30.6,105858,1.62
1004,Mexico,MEX,1991,3.85,39.39,51491,1.1
1005,Nigeria,NGR,2010,4.66,12.69,81299,1.91
1006,United Kingdom,UK,1996,3.94,38.18,39363,1.29
1007,Germany,GER,2012,28.98,34.4,134684,2.53
1008,United States,USA,1990,7.17,16.14,31179,0.42
1009,France,FRA,2007,8.77,27.27,100920,1.17
1010,Argentina,ARG,2011,4.93,7.36,108230,2.33
1011,Spain,ESP,1980,0.0,22.63,0,0.0
1012,Mexico,MEX,2007,16.61,44.06,118237,1.66
1013,Turkey,TUR,1986,2.78,21.06,10698,0.44
1014,Spain,ESP,1981,0.43,41.98,4729,0.08
1015,Germany,GER,2003,6.79,29.51,46052,0.79
1016,Spain,ESP,1983,2.11,9.59,11806,0.07
1017,United States,USA,1998,17.52,29.06,38495,0.65
1018,Japan,JPN,2005,6.45,25.3,56778,1.39
1019,Spain,ESP,1990,6.37,19.93,22400,0.41
1020,United States,USA,2019,18.79,5.98,155671,2.38
1021,India,IND,1990,5.02,20.84,32272,0.15
1022,Spain,ESP,1982,0.66,3.64,9063,0.11
1023,Germany,GER,1991,9.27,4.94,24524,0.47
1024,Argentina,ARG,1982,1.07,20.8,7535,0.12
1025,Oman,OMN,2006,15.32,15.27,104306,1.25
1026,United Kingdom,UK,1981,0.37,46.28,1605,0.04
1027,United Kingdom,UK,1995,3.95,18.79,39035,1.37
1028,Spain,ESP,1981,0.18,37.89,2931,0.03
1029,Oman,OMN,2009,21.54,26.51,70259,2.07
1030,Russia,RUS,1999,5.26,35.2,43480,1.77
1031,India,IND,2017,26.68,13.01,138590,2.16
1032,United Kingdom,UK,2007,12.19,47.1,50313,2.4
1033,Turkey,TUR,2004,11.38,26.5,92101,0.51
1034,Argentina,ARG,2011,16.19,41.57,146945,1.69
1035,Peru,PER,1989,3.88,18.25,29347,0.46
1036,United Kingdom,UK,2019,7.43,5.01,134383,0.42
1037,Qatar,QAT,2012,12.12,33.69,40823,1.6
1038,Turkey,TUR,1992,8.37,0.39,53494,0.52
1039,Brazil,BRA,2020,27.97,23.76,85671,2.81
1040,Spain,ESP,2016,12.87,9.64,124567,3.4
1041,Turkey,TUR,1995,7.71,31.37,73746,0.27
1042,France,FRA,2001,5.76,48.97,71022,0.83
1043,United Kingdom,UK,1999,5.5,23.22,74077,0.95
1044,Denmark,DNK,2006,3.14,40.87,72313,1.33
1045,Argentina,ARG,2020,36.28,25.39,49658,3.19
1046,India,IND,1995,4.34,24.79,62855,0.75
1047,Germany,GER,2013,10.06,46.52,37619,0.41
1048,Canada,CAN,2011,10.9,44.5,117881,2.29
1049,Kenya,KEN,2005,5.37,39.29,27292,2.24
1050,Kenya,KEN,2004,16.21,14.81,106781,1.35
1051,United Kingdom,UK,1981,0.17,27.25,1630,0.06
1052,Peru,PER,1991,2.43,11.19,33627,0.27
1053,Brazil,BRA,2019,26.53,22.2,132155,1.16
1054,Argentina,ARG,1988,3.25,24.21,22641,0.25
1055,Turkey,TUR,1991,8.11,41.58,25993,0.54
1056,Germany,GER,2005,15.04,44.8,71781,2.34
1057,India,IND,1988,2.64,20.73,17965,0.46
1058,Argentina,ARG,1989,6.17,0.89,24772,0.25
1059,Canada,CAN,2011,6.34,43.09,75505,1.05
1060,India,IND,2013,19.23,8.71,107739,1.47
1061,Qatar,QAT,1999,9.38,31.09,37082,1.26
1062,Egypt,EGY,2018,12.96,1.25,188275,1.88
1063,Canada,CAN,1981,0.64,19.98,3003,0.05
1064,United Kingdom,UK,1980,0.0,49.3,0,0.0
1065,Argentina,ARG,2015,34.97,5.03,101789,1.11
1066,Qatar,QAT,2003,14.88,21.18,102710,0.39
1067,India,IND,2006,12.07,15.36,28267,0.32
1068,Brazil,BRA,1981,0.3,45.25,3718,0.03
1069,Canada,CAN,2010,9.94,43.47,95756,0.55
1070,Peru,PER,1993,6.91,11.88,21817,0.52
1071,Peru,PER,1981,0.43,4.06,4269,0.08
1072,Mexico,MEX,2008,25.83,31.36,69315,2.09
1073,Russia,RUS,1994,6.04,16.82,30452,0.91
1074,Denmark,DNK,1991,4.8,33.6,47437,0.95
1075,United States,USA,2016,16.03,1.61,127947,1.27
1076,Egypt,EGY,2007,23.03,6.67,124011,2.42
1077,Peru,PER,1999,13.03,34.32,66871,0.87
1078,Russia,RUS,2018,24.8,10.62,150604,1.75
1079,Turkey,TUR,2003,9.22,42.88,99953,1.07
1080,Germany,GER,2000,16.72,2.93,24379,0.38
1081,Kenya,KEN,1989,1.21,10.77,36937,0.88
1082,Germany,GER,1993,11.49,49.93,44912,0.29
1083,Argentina,ARG,2016,20.21,21.65,46009,1.46
1084,United Kingdom,UK,1997,7.79,35.15,51583,0.66
1085,Russia,RUS,2003,12.59,9.13,30586,0.38
1086,United Kingdom,UK,1993,9.11,30.49,51269,0.31
1087,Denmark,DNK,2013,3.68,36.31,105138,0.46
1088,Turkey,TUR,1991,9.73,15.72,52957,0.4
1089,Brazil,BRA,2001,10.54,41.44,36383,1.85
1090,Argentina,ARG,1985,2.04,30.17,17120,0.2
1091,Qatar,QAT,2015,7.85,19.46,64621,0.74
1092,Egypt,EGY,2015,17.34,27.88,120969,2.38
1093,United States,USA,2001,11.48,28.84,81702,2.09
1094,Mexico,MEX,1993,6.02,8.28,50559,0.4
1095,Kenya,KEN,1995,10.66,20.14,63904,0.53
1096,Brazil,BRA,2015,16.76,17.17,154497,3.41
1097,Canada,CAN,2004,23.17,20.05,31418,0.63
1098,Nigeria,NGR,2011,19.82,38.06,73565,1.74
1099,United States,USA,2012,26.46,24.13,119951,1.01
1100,Egypt,EGY,2015,6.94,47.02,104802,3.29
1101,Egypt,EGY,1999,8.69,14.68,33491,1.87
1102,France,FRA,1997,6.85,20.79,54584,1.42
1103,Japan,JPN,2017,22.66,39.35,97300,1.42
1104,Brazil,BRA,1982,1.75,27.3,5120,0.09
1105,Nigeria,NGR,2002,3.75,27.35,93258,0.7
1106,Canada,CAN,2011,5.12,2.67,81542,2.8
1107,United States,USA,1995,12.98,19.93,16587,1.38
1108,Nigeria,NGR,1984,1.17,13.54,4929,0.19
1109,Spain,ESP,1983,2.11,49.97,13274,0.21
1110,Kenya,KEN,2000,11.77,15.42,96848,0.5
1111,Peru,PER,2019,33.13,44.22,146391,1.92
1112,Spain,ESP,1993,2.76,33.81,31947,0.87
1113,Turkey,TUR,2018,8.24,17.05,180667,1.7
1114,United Kingdom,UK,2010,18.03,27.18,109536,1.27
1115,Spain,ESP,1993,12.37,42.03,56905,0.13
1116,Peru,PER,1985,2.37,44.17,20317,0.41
1117,Japan,JPN,1991,4.34,8.02,27682,0.99
1118,India,IND,1995,9.69,16.98,43722,1.46
1119,Brazil,BRA,1996,15.0,16.76,27912,1.2
1120,Oman,OMN,2002,18.77,2.1,47697,1.31
1121,Germany,GER,1993,12.95,29.91,53462,0.45
1122,Japan,JPN,1986,0.72,42.74,27455,0.6
1123,Mexico,MEX,2011,6.25,19.08,120833,1.96
1124,Peru,PER,1994,9.08,37.0,40049,1.0
1125,Denmark,DNK,1996,13.42,31.39,21536,1.14
1126,Oman,OMN,2020,14.27,18.78,49111,3.44
1127,Brazil,BRA,2013,10.4,7.05,82410,0.36
1128,Egypt,EGY,1984,3.23,35.47,11421,0.12
1129,Mexico,MEX,2006,3.92,42.73,89348,1.82
1130,France,FRA,2002,9.51,34.29,22571,1.99
1131,Turkey,TUR,2019,21.65,0.89,193396,2.8
1132,Kenya,KEN,1993,7.86,10.81,31924,0.61
1133,Denmark,DNK,1994,10.58,3.47,61493,0.6
1134,Japan,JPN,2012,13.42,28.52,100475,2.45
1135,France,FRA,2010,19.54,37.82,45652,2.3
1136,Brazil,BRA,2014,21.31,5.53,142468,2.2
1137,Spain,ESP,1996,9.49,41.92,61428,0.58
1138,Egypt,EGY,2007,18.26,27.78,83963,2.52
1139,France,FRA,1998,6.0,34.5,55047,1.07
1140,Nigeria,NGR,2002,3.88,48.57,29698,1.79
1141,Kenya,KEN,2011,6.43,4.18,112325,0.91
1142,France,FRA,2019,11.78,45.06,181154,1.6
1143,India,IND,1992,6.6,6.31,16475,1.06
1144,Brazil,BRA,1999,16.27,19.65,39026,0.28
1145,Nigeria,NGR,2014,24.86,42.57,156713,1.91
1146,Oman,OMN,1984,3.24,45.31,8549,0.21
1147,Germany,GER,1988,3.33,25.32,28926,0.62
1148,Kenya,KEN,2008,13.0,29.71,87899,0.99
1149,Oman,OMN,1985,2.27,35.41,16926,0.15
1150,Spain,ESP,2004,6.54,41.64,63915,2.24
1151,Peru,PER,2010,4.65,6.08,65998,1.84
1152,Brazil,BRA,2001,13.27,40.5,25076,0.41
1153,Mexico,MEX,1981,0.99,24.06,3977,0.03
1154,Argentina,ARG,1984,1.0,22.53,15937,0.4
1155,United Kingdom,UK,2006,3.69,21.19,95755,0.72
1156,Denmark,DNK,2004,19.24,25.46,85788,1.56
1157,United Kingdom,UK,1987,2.29,47.25,13824,0.33
1158,Mexico,MEX,1980,0.0,27.41,0,0.0
1159,India,IND,1999,13.94,47.66,80462,1.48
1160,Mexico,MEX,2002,20.92,9.01,65220,1.4
1161,Denmark,DNK,2011,14.51,36.21,69047,0.34
1162,Spain,ESP,1990,6.96,40.61,14077,0.89
1163,Germany,GER,2018,19.7,33.96,47533,1.9
1164,India,IND,2003,15.35,30.35,55095,2.16
1165,Canada,CAN,1990,5.05,28.24,42189,0.55
1166,Brazil,BRA,2008,7.55,43.05,130897,2.03
1167,Qatar,QAT,2005,13.93,41.08,114675,0.41
1168,Egypt,EGY,1995,8.64,6.11,70200,1.16
1169,Argentina,ARG,2014,28.2,42.43,157450,1.37
1170,Denmark,DNK,1999,14.48,20.7,59069,0.79
1171,Qatar,QAT,1982,1.39,12.68,3755,0.04
1172,United States,USA,1980,0.0,43.49,0,0.0
1173,United Kingdom,UK,1980,0.0,21.6,0,0.0
1174,Canada,CAN,1996,8.8,40.42,33101,0.63
1175,United States,USA,1981,0.9,13.17,1933,0.09
1176,Mexico,MEX,2008,25.98,0.2,85678,1.21
1177,Spain,ESP,1999,2.84,24.77,43458,1.43
1178,Oman,OMN,1985,4.19,5.01,8083,0.09
1179,Mexico,MEX,1987,0.94,37.72,19688,0.44
1180,Brazil,BRA,2008,12.05,13.8,125877,1.49
1181,Japan,JPN,2012,18.82,22.18,105030,3.14
1182,Brazil,BRA,1982,0.47,4.35,9026,0.17
1183,Japan,JPN,2014,26.24,14.33,60638,1.73
1184,Japan,JPN,1984,0.43,39.07,6671,0.32
1185,India,IND,2006,6.55,7.58,85860,0.71
1186,Spain,ESP,1991,6.85,32.36,31386,0.67
1187,Argentina,ARG,1999,14.12,45.87,69173,0.32
1188,Mexico,MEX,1999,17.57,33.99,79391,0.79
1189,India,IND,1988,5.88,40.55,32041,0.24
1190,Kenya,KEN,2018,26.77,5.45,181223,2.84
1191,Germany,GER,1983,1.36,12.54,7779,0.16
1192,Canada,CAN,1998,1.82,44.73,32859,1.4
1193,Canada,CAN,2017,7.7,35.76,118535,2.09
1194,Turkey,TUR,2006,15.11,31.98,37517,0.46
1195,Egypt,EGY,1992,8.49,33.19,25864,0.91
1196,Nigeria,NGR,1992,5.71,20.71,21978,1.02
1197,Nigeria,NGR,2001,15.91,2.23,54311,1.92
1198,United Kingdom,UK,2007,15.38,39.22,39011,1.66
1199,France,FRA,2001,3.5,33.94,23674,1.63
1200,Brazil,BRA,1998,4.91,23.64,65289,1.4
1201,Nigeria,NGR,1987,5.99,44.99,24086,0.17
1202,United Kingdom,UK,1987,5.27,16.81,26834,0.17
1203,Egypt,EGY,2005,22.63,14.72,91038,0.41
1204,Nigeria,NGR,2005,5.15,43.64,36429,0.97
1205,Spain,ESP,2002,21.81,39.85,47614,1.16
1206,Spain,ESP,1992,3.46,25.75,18217,1.2
1207,Kenya,KEN,2007,2.99,6.54,118041,1.32
1208,Spain,ESP,1988,7.98,10.75,31900,0.6
1209,Qatar,QAT,1999,6.71,32.81,34316,1.38
1210,Nigeria,NGR,1998,12.62,19.25,42574,0.51
1211,Russia,RUS,2018,9.84,41.82,184925,0.58
1212,United Kingdom,UK,1991,6.84,47.5,37143,0.65
1213,India,IND,1994,12.79,40.28,58864,1.02
1214,Spain,ESP,2010,11.64,18.88,61750,3.0
1215,Egypt,EGY,1993,9.14,39.43,23922,0.55
1216,Russia,RUS,1990,2.69,17.57,41356,0.91
1217,France,FRA,2005,16.56,8.36,93587,1.11
1218,India,IND,2006,10.47,1.67,96821,1.87
1219,Turkey,TUR,1990,2.9,19.29,32105,0.64
1220,Nigeria,NGR,2017,14.13,45.18,120409,0.55
1221,Qatar,QAT,2013,8.61,11.95,130112,0.56
1222,Japan,JPN,1998,16.41,10.33,37440,0.21
1223,Oman,OMN,1985,2.29,48.49,12055,0.22
1224,Qatar,QAT,2017,11.87,1.25,166002,2.85
1225,Kenya,KEN,2007,13.6,39.29,60357,0.69
1226,Russia,RUS,1980,0.0,16.07,0,0.0
1227,Germany,GER,2014,26.18,1.87,129558,1.22
1228,Spain,ESP,2019,37.99,45.89,194988,3.19
1229,Germany,GER,1987,3.46,6.98,19188,0.57
1230,Peru,PER,1986,5.25,27.59,16274,0.48
1231,Qatar,QAT,1990,6.09,13.7,43703,0.57
1232,Germany,GER,2018,9.18,3.26,160436,1.35
1233,Japan,JPN,1983,2.16,2.5,11772,0.25
1234,United Kingdom,UK,2004,13.49,5.78,68470,0.64
1235,Russia,RUS,1991,7.54,3.57,25253,0.4
1236,India,IND,2005,22.52,38.03,85873,0.66
1237,Turkey,TUR,2017,18.37,24.28,166681,2.62
1238,Turkey,TUR,1991,10.02,17.14,49886,0.79
1239,United States,USA,2016,27.92,20.92,51623,2.47
1240,Germany,GER,2003,12.41,46.45,62408,1.09
1241,Canada,CAN,1995,9.64,45.54,42883,0.29
1242,Turkey,TUR,1992,4.72,35.78,58925,1.1
1243,Kenya,KEN,2004,23.65,44.23,89087,1.34
1244,Germany,GER,1983,2.1,15.98,7886,0.14
1245,Spain,ESP,1990,1.39,19.06,11042,0.63
1246,Peru,PER,2011,12.21,30.69,101107,0.85
1247,Canada,CAN,1986,3.97,31.18,8305,0.13
1248,Nigeria,NGR,1990,1.51,24.08,43377,0.46
1249,Oman,OMN,2007,3.28,20.03,108272,0.82
1250,Brazil,BRA,2020,20.2,49.31,113681,1.28
1251,Canada,CAN,2002,8.79,41.06,59770,1.99
1252,Egypt,EGY,2002,10.88,21.75,100965,1.27
1253,Mexico,MEX,2007,9.08,36.36,58153,1.44
1254,India,IND,2005,6.21,13.48,49901,1.8
1255,Nigeria,NGR,2004,17.29,5.01,114162,2.3
1256,Germany,GER,2008,15.77,17.62,118635,0.56
1257,Qatar,QAT,1998,5.04,20.15,77085,1.53
1258,Spain,ESP,2012,12.4,0.83,56984,2.0
1259,Denmark,DNK,2015,22.14,40.74,55061,0.81
1260,Oman,OMN,1993,2.15,17.96,14353,0.48
1261,Turkey,TUR,1993,3.03,29.02,25326,0.69
1262,Argentina,ARG,2014,5.64,3.7,139289,2.46
1263,Russia,RUS,2009,24.1,8.75,56844,0.92
1264,Oman,OMN,2007,20.98,44.48,105743,1.57
1265,Kenya,KEN,1996,12.45,30.43,32122,1.15
1266,Nigeria,NGR,1982,1.49,47.51,5162,0.1
1267,Brazil,BRA,1995,10.54,49.94,73989,1.32
1268,Canada,CAN,2009,15.35,18.59,57398,2.56
1269,Kenya,KEN,2008,18.99,14.94,70153,1.47
1270,Brazil,BRA,1994,1.88,42.92,30860,1.37
1271,Oman,OMN,2004,15.82,49.93,34523,0.4
1272,Oman,OMN,2017,29.6,31.48,109504,0.38
1273,Turkey,TUR,2017,20.36,39.76,93046,1.64
1274,Canada,CAN,2002,9.28,39.09,83150,1.41
1275,Germany,GER,2004,8.39,17.77,102489,1.6
1276,Peru,PER,1986,4.07,28.71,19061,0.32
1277,United States,USA,2001,15.19,41.65,23704,0.45
1278,Spain,ESP,1996,14.14,34.41,55611,0.41
1279,Nigeria,NGR,1997,6.94,1.06,20766,1.47
1280,Russia,RUS,2020,31.71,16.84,138617,3.52
1281,Nigeria,NGR,1989,5.45,7.22,33661,0.64
1282,Qatar,QAT,1989,8.05,11.65,16119,0.63
1283,Kenya,KEN,1986,3.45,45.27,25664,0.38
1284,Germany,GER,2017,20.94,1.84,171840,1.05
1285,United States,USA,2006,16.12,10.99,110561,1.26
1286,Egypt,EGY,2012,24.78,15.48,71053,2.32
1287,Argentina,ARG,1980,0.0,30.84,0,0.0
1288,Spain,ESP,2013,5.48,26.71,153755,0.39
1289,Canada,CAN,1983,0.44,10.91,6847,0.29
1290,Oman,OMN,1996,15.1,8.21,68481,1.38
1291,Peru,PER,1983,1.73,11.84,3113,0.1
1292,Turkey,TUR,2005,16.34,25.13,25364,1.64
1293,Denmark,DNK,1983,1.6,13.56,12116,0.28
1294,Turkey,TUR,1980,0.0,47.38,0,0.0
1295,Egypt,EGY,1986,4.75,23.19,24935,0.33
1296,Russia,RUS,2009,22.4,2.94,136883,1.48
1297,Argentina,ARG,1988,3.04,36.46,11773,0.38
1298,Peru,PER,2014,12.77,16.44,65549,2.9
1299,Qatar,QAT,1987,5.98,32.67,32304,0.31
1300,Japan,JPN,2003,3.8,13.98,39305,0.36
1301,Qatar,QAT,1998,16.07,28.54,67120,0.29
1302,Spain,ESP,2015,11.58,38.61,109264,0.48
1303,Denmark,DNK,2006,16.48,46.4,34652,1.22
1304,Nigeria,NGR,2011,29.21,13.06,66372,2.31
1305,Egypt,EGY,1993,9.23,16.74,40059,0.37
1306,Egypt,EGY,1997,8.04,23.21,74959,1.16
1307,Mexico,MEX,2007,19.46,46.36,103414,1.94
1308,France,FRA,2008,11.47,45.07,97650,0.92
1309,Germany,GER,1995,5.24,4.49,44761,0.96
1310,Peru,PER,2014,33.9,6.6,74621,2.44
1311,Mexico,MEX,2010,23.27,24.78,44309,1.56
1312,Oman,OMN,1983,2.04,5.33,7908,0.12
1313,Brazil,BRA,2016,15.11,17.28,40106,2.37
1314,Germany,GER,1996,2.31,7.42,29507,1.57
1315,United States,USA,2018,4.86,31.8,103737,1.84
1316,Denmark,DNK,2005,14.97,47.47,66860,1.13
1317,India,IND,2018,29.86,49.84,44732,1.97
1318,United States,USA,2020,23.35,18.76,134249,0.67
1319,United Kingdom,UK,1983,2.57,29.95,9596,0.18
1320,Oman,OMN,2009,3.77,42.81,38060,1.15
1321,Peru,PER,2009,12.47,5.87,138406,0.61
1322,Kenya,KEN,2001,6.58,34.48,29348,1.09
1323,Mexico,MEX,1990,5.03,20.44,44193,0.1
1324,Brazil,BRA,1981,0.17,10.31,1001,0.05
1325,Japan,JPN,1991,10.55,20.14,49820,0.21
1326,Spain,ESP,2009,8.73,3.8,31287,0.35
1327,Canada,CAN,2015,32.55,34.77,141093,2.95
1328,France,FRA,1997,8.22,12.64,41594,1.57
1329,Egypt,EGY,2005,24.67,15.57,98821,0.72
1330,Egypt,EGY,1986,3.59,6.05,15641,0.35
1331,Qatar,QAT,1980,0.0,43.23,0,0.0
1332,Spain,ESP,2005,2.62,24.67,101750,1.36
1333,Japan,JPN,2002,17.02,28.61,28270,1.08
1334,Canada,CAN,2005,22.82,28.47,117212,0.86
1335,United States,USA,1985,1.13,20.52,6019,0.37
1336,Spain,ESP,1985,0.93,9.63,14586,0.11
1337,Kenya,KEN,1987,3.37,37.26,27244,0.1
1338,Canada,CAN,2003,21.63,6.35,59178,1.82
1339,Turkey,TUR,2001,12.35,5.19,39247,1.47
1340,Turkey,TUR,1998,10.34,35.51,72654,0.99
1341,Spain,ESP,2016,8.17,10.44,148938,1.88
1342,Canada,CAN,1997,1.71,15.34,79743,0.93
1343,Canada,CAN,2010,24.87,23.76,75139,1.48
1344,France,FRA,2016,6.44,22.47,108900,1.63
1345,Oman,OMN,2009,19.44,35.43,71122,1.59
1346,Qatar,QAT,2012,29.54,31.17,64906,1.84
1347,Japan,JPN,1989,2.59,32.22,36037,0.65
1348,Denmark,DNK,2016,25.15,35.7,84909,2.66
1349,Peru,PER,1991,1.88,14.63,29838,0.48
1350,Egypt,EGY,2009,18.66,16.12,75826,1.37
1351,Brazil,BRA,2006,6.44,21.9,100116,1.13
1352,Mexico,MEX,2018,28.97,15.37,177504,2.21
1353,Japan,JPN,1988,2.97,49.25,29336,0.41
1354,Canada,CAN,2000,10.34,40.7,57726,1.8
1355,Japan,JPN,1991,7.03,8.23,45285,0.8
1356,Canada,CAN,2008,7.12,0.28,99788,2.54
1357,Brazil,BRA,2012,24.56,2.14,39758,2.36
1358,Nigeria,NGR,1994,5.21,12.2,19357,1.36
1359,Kenya,KEN,1981,0.7,5.71,1151,0.07
1360,Japan,JPN,2018,9.21,26.67,107436,3.68
1361,Qatar,QAT,1997,12.23,42.9,73158,0.41
1362,India,IND,1982,0.43,36.84,4504,0.03
1363,Egypt,EGY,1986,2.9,10.78,15219,0.37
1364,Mexico,MEX,1997,5.48,19.96,78844,1.67
1365,Brazil,BRA,2017,28.62,25.39,160861,1.76
1366,Qatar,QAT,2016,12.09,40.51,131766,1.05
1367,France,FRA,2012,28.59,41.96,66150,1.82
1368,India,IND,2010,27.08,45.49,44044,2.05
1369,Egypt,EGY,1990,2.77,25.46,10642,0.38
1370,Russia,RUS,1983,1.96,34.71,4284,0.22
1371,Turkey,TUR,1997,3.04,5.59,36896,1.66
1372,France,FRA,1983,1.36,28.26,9621,0.27
1373,Egypt,EGY,2013,24.49,12.43,41448,1.2
1374,Russia,RUS,2008,19.42,21.59,43257,1.1
1375,Oman,OMN,2003,15.23,31.7,39659,1.0
1376,Egypt,EGY,2001,7.44,12.85,74086,0.96
1377,Oman,OMN,1981,0.44,2.61,3463,0.02
1378,Spain,ESP,1985,0.96,0.51,16015,0.39
1379,Turkey,TUR,2004,17.93,1.11,48048,1.03
1380,India,IND,2000,11.07,0.42,49689,1.78
1381,Oman,OMN,1995,11.07,5.52,20801,1.4
1382,United Kingdom,UK,2010,9.72,11.97,57175,0.37
1383,Canada,CAN,1993,5.1,11.06,59680,1.29
1384,India,IND,2018,15.23,49.34,186913,2.81
1385,Brazil,BRA,2007,3.33,15.3,96947,1.53
1386,India,IND,2011,12.62,6.37,144686,1.4
1387,Oman,OMN,2007,22.22,27.28,96416,1.53
1388,Oman,OMN,1988,7.26,42.9,9062,0.31
1389,Argentina,ARG,2001,11.89,33.9,104728,1.39
1390,France,FRA,2011,15.81,14.8,43270,0.57
1391,United Kingdom,UK,1984,0.51,28.08,14922,0.26
1392,Russia,RUS,2002,19.61,35.74,44249,0.77
1393,India,IND,1984,0.45,36.41,10271,0.05
1394,Argentina,ARG,2011,29.46,33.33,111095,1.85
1395,Russia,RUS,1989,4.86,43.54,24713,0.56
1396,Japan,JPN,2018,15.49,43.51,76083,1.84
1397,Oman,OMN,1994,13.05,28.95,32728,0.23
1398,Mexico,MEX,1986,0.73,21.49,14197,0.54
1399,Oman,OMN,2008,17.45,32.08,135444,1.82
1400,Kenya,KEN,1982,1.19,40.91,8388,0.04
1401,Denmark,DNK,1998,5.35,0.28,51015,1.01
1402,France,FRA,1989,4.37,49.6,16193,0.49
1403,Germany,GER,2007,18.55,9.14,114589,0.42
1404,Egypt,EGY,2008,21.12,23.51,45604,1.81
1405,Mexico,MEX,1994,1.41,43.6,25785,1.16
1406,Oman,OMN,2014,32.07,11.25,83777,2.63
1407,United Kingdom,UK,1985,1.24,23.84,22606,0.14
1408,Kenya,KEN,1991,3.41,6.63,16798,0.96
1409,Kenya,KEN,2017,12.47,19.75,55090,1.51
1410,Mexico,MEX,1992,1.61,8.86,35710,1.14
1411,Germany,GER,2008,5.9,18.18,58957,0.46
1412,Turkey,TUR,1998,17.78,18.67,58948,0.97
1413,Denmark,DNK,1982,0.77,49.66,5613,0.13
1414,Brazil,BRA,1987,1.43,49.74,19178,0.23
1415,Peru,PER,1987,1.37,5.74,10135,0.56
1416,Oman,OMN,1999,14.2,36.3,29719,1.26
1417,Nigeria,NGR,1983,2.61,2.59,12852,0.03
1418,Germany,GER,2000,6.63,1.51,90870,1.3
1419,Brazil,BRA,1982,0.24,5.27,3877,0.11
1420,Oman,OMN,1987,2.11,48.27,10176,0.19
1421,Peru,PER,2002,3.32,47.04,26700,2.19
1422,Spain,ESP,1995,2.9,9.7,51497,1.36
1423,Japan,JPN,1992,5.86,8.08,46336,0.44
1424,Spain,ESP,1982,0.61,12.03,4982,0.12
1425,India,IND,1988,4.51,25.78,29749,0.31
1426,Brazil,BRA,1993,4.27,28.49,50073,1.04
1427,Oman,OMN,1992,11.36,11.08,56896,1.12
1428,Canada,CAN,1986,5.49,37.83,7556,0.25
1429,Russia,RUS,1994,8.54,15.48,24768,1.16
1430,France,FRA,1986,2.51,46.11,7644,0.33
1431,United Kingdom,UK,2017,16.39,32.84,165463,1.69
1432,Germany,GER,2013,15.53,21.82,137621,3.12
1433,Kenya,KEN,2020,30.19,39.5,131942,2.24
1434,Japan,JPN,2001,10.64,40.9,28027,1.09
1435,Brazil,BRA,2003,20.03,14.52,48144,1.62
1436,Qatar,QAT,2016,34.19,16.99,78871,1.21
1437,Egypt,EGY,1980,0.0,46.8,0,0.0
1438,Denmark,DNK,1989,5.44,8.24,18289,0.84
1439,United States,USA,1995,2.78,2.11,19377,1.07
1440,Denmark,DNK,1987,1.96,22.7,27461,0.59
1441,Turkey,TUR,2004,11.33,40.06,52711,0.83
1442,Denmark,DNK,1991,3.14,38.58,30904,0.65
1443,Spain,ESP,2004,21.33,45.98,36255,2.34
1444,Nigeria,NGR,1996,3.88,26.66,67363,0.62
1445,Spain,ESP,2005,12.75,5.0,81553,0.61
1446,Kenya,KEN,1993,8.39,29.43,59882,0.73
1447,Argentina,ARG,2020,28.91,38.92,119275,1.8
1448,Turkey,TUR,2015,15.57,4.67,166799,0.85
1449,Turkey,TUR,2002,19.41,8.63,100484,1.98
1450,Peru,PER,1985,3.06,0.61,16529,0.5
1451,Qatar,QAT,1984,1.98,29.68,18942,0.24
1452,Nigeria,NGR,2004,3.85,44.34,55016,1.91
1453,Denmark,DNK,1997,8.81,33.53,41863,1.48
1454,Canada,CAN,1992,10.06,49.1,14182,0.88
1455,United States,USA,1993,8.49,3.15,43638,0.18
1456,Nigeria,NGR,2007,22.92,45.15,104967,0.65
1457,Germany,GER,1997,9.26,40.7,69599,0.28
1458,Mexico,MEX,2007,5.58,15.71,43180,0.29
1459,Argentina,ARG,2006,2.92,48.68,72192,0.98
1460,France,FRA,2011,11.56,14.4,52931,1.4
1461,Qatar,QAT,1988,5.83,44.47,29188,0.25
1462,Qatar,QAT,2019,31.64,44.04,63639,0.62
1463,United Kingdom,UK,2011,11.35,37.88,143116,1.79
1464,Mexico,MEX,1999,10.38,28.17,36528,0.66
